participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,39,1231747,874,120,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,92,1231800,874,120,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,134,1231842,874,120,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,185,1231893,874,120,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,239,1231947,881,121,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,287,1231995,888,129,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,338,1232046,900,139,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,-1,999,386,1232094,933,150,,,,,,,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,1, The ,436,1232144,954,156,142.46875,945.375,162.46875,981.40625,1,1,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
VZ9TXYY2,69ec90bea56a759c694e38f6,2,int,15,3,13,14,1, The ,485,1232193,957,158,142.46875,945.375,162.46875,981.40625,1,1,One group was given oxytocin; the other was given placebo,1,,,2026-07-08,2026-07-08,2026-07-08T17:21:28.252Z,14:21:28,2026-07-08 14:21:28,,,,,,,spotlight-prolific
