responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
38124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,96, orange ,1074,428,775176.1999999993,422.234375,1026.46875,442.234375,1087.53125,8,3,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,16,4,4,5,96, orange ,1074,428,,412.234375,1026.46875,452.234375,1087.53125,8,3,hover,13.5,13.5,0.12333674513817809,0.444140625,132,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,16,4,4,5,94, bought ,996,433,,412.234375,937.5859375,452.234375,1001.4375,8,1,hover,28.400000002235174,28.400000002235174,0.006484766915453322,0.769140625,132,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,-1,999,922,449,775224.9000000022,,,,,,,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,-1,999,917,454,775275.5,,,,,,,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,-1,999,924,470,775324,,,,,,,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,107, replaced ,940,482,775376.1999999993,462.234375,941.375,482.234375,1015.4375,9,1,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,107, replaced ,960,484,775426.8000000007,462.234375,941.375,482.234375,1015.4375,9,1,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,107, replaced ,964,483,775474,462.234375,941.375,482.234375,1015.4375,9,1,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,107, replaced ,968,482,775524.1000000015,462.234375,941.375,482.234375,1015.4375,9,1,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
38527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,16,4,4,5,107, replaced ,975,481,775578.9000000022,462.234375,941.375,482.234375,1015.4375,9,1,,,,,,,,,intermediate,4,,,,,,2026-07-06T21:59:53.131Z,,2026-07-06,2026-07-06,18:59:53,2026-07-06 18:59:53,2026-07-06T22:25:11.597Z,1518466,,,,,,2026-07-06,19:25:11,2026-07-06 19:25:11,1518466
